Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,24,Olivier-Maxence Prosper (↳DAL),Marquette,5,29,13,6,1,.400,.200,.500,5.8,2.6,1.2,0.2,0.0,.051,-8.2,0.0
2023,NBA,2,38,Jordan Walsh (↳BOS),Arkansas,,,,,,,,,,,,,,,,
2023,NBA,2,54,Jalen Slawson,Furman University,1,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0
2022,NBA,1,4,Keegan Murray,Iowa,91,2763,1126,445,120,.441,.392,.776,30.4,12.4,4.9,1.3,4.7,.081,-0.9,0.7
2022,NBA,2,37,Jaden Hardy (↳DAL),,58,826,495,105,78,.434,.389,.806,14.2,8.5,1.8,1.3,0.8,.048,-2.5,-0.1
2021,NBA,1,9,Davion Mitchell,Baylor,163,3691,1360,284,520,.427,.318,.701,22.6,8.3,1.7,3.2,1.7,.022,-3.5,-1.4
2021,NBA,2,39,Neemias Queta,Utah State University,20,149,57,42,7,.489,,.579,7.5,2.9,2.1,0.4,0.2,.070,-4.8,-0.1
2020,NBA,1,12,Tyrese Haliburton,Iowa State,201,6660,3341,731,1647,.482,.409,.864,33.1,16.6,3.6,8.2,20.3,.146,4.0,10.1
2020,NBA,2,35,Xavier Tillman (↳MEM),Michigan State,180,3147,1136,771,250,.542,.289,.599,17.5,6.3,4.3,1.4,9.0,.138,0.7,2.1
2020,NBA,2,43,Jahmi'us Ramsey,Texas Tech,32,228,100,23,13,.406,.270,.632,7.1,3.1,0.7,0.4,-0.1,-0.023,-5.9,-0.2
2020,NBA,2,52,Kenyon Martin (↳HOU),,212,5055,2164,995,274,.544,.338,.673,23.8,10.2,4.7,1.3,10.0,.095,-1.2,1.1
2019,NBA,2,40,Justin James,Wyoming,72,542,228,62,40,.446,.343,.544,7.5,3.2,0.9,0.6,0.3,.024,-3.1,-0.2
2019,NBA,2,47,Ignas Brazdeikis (↳NYK),Michigan,64,838,318,122,58,.416,.315,.686,13.1,5.0,1.9,0.9,0.4,.024,-4.9,-0.6
