Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Peter Skoronski,11,OL,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Northwestern,SkorPe00
2023,2,Will Levis,33,QB,2023,0,0,0,0,4,73,124,857,6,2,12,15,0,,,0,,,Kentucky,LeviWi00
2023,3,Tyjae Spears,81,RB,2023,0,0,0,0,10,0,0,0,0,0,48,248,1,28,178,0,,,Tulane,SpeaTy00
2023,5,Josh Whyle,147,TE,2023,0,0,0,0,9,0,0,0,0,0,,,0,7,67,1,,,Cincinnati,WhylJo01
2023,6,Jaelyn Duncan,186,OL,2023,0,0,0,0,4,0,0,0,0,0,,,0,,,0,,,Maryland,DuncJa00
2023,7,Colton Dowell,228,WR,2023,0,0,0,0,4,0,0,0,0,0,,,0,0,0,0,,,UT Martin,DoweCo00
2022,1,Treylon Burks,18,WR,2023,0,0,0,4,16,0,0,0,0,0,6,61,0,41,566,1,,,Arkansas,BurkTr00
2022,2,Roger McCreary,35,CB,2023,0,0,1,6,25,0,0,0,0,0,,,0,,,0,2,2.0,Auburn,McCrRo01
2022,3,Nicholas Petit-Frere,69,T,2023,0,0,1,6,19,0,0,0,0,0,,,0,,,0,,,Ohio St.,PetiNi00
2022,3,Malik Willis,86,QB,2023,0,0,0,1,11,35,66,350,0,3,32,144,1,,,0,,,Liberty,WillMa12
2022,4,Hassan Haskins,131,RB,2022,0,0,0,1,15,0,0,0,0,0,25,93,0,11,57,0,,,Michigan,HaskHa00
2022,4,Chigoziem Okonkwo,143,TE,2023,0,0,0,4,27,0,0,0,0,0,4,6,0,60,656,3,,,Maryland,OkonCh00
2022,5,Kyle Philips,163,WR,2023,0,0,0,1,10,0,0,0,0,0,,,0,20,247,0,,,UCLA,PhilKy01
2022,6,Theo Jackson,204,DB,2023,0,0,0,1,22,0,0,0,0,0,,,0,,,0,1,,Tennessee,JackTh00
2022,6,Chance Campbell,219,LB,2023,0,0,0,0,4,0,0,0,0,0,,,0,,,0,,,Mississippi,CampCh02
2021,1,Caleb Farley,22,DB,2022,0,0,0,1,12,0,0,0,0,0,,,0,,,0,,,Virginia Tech,FarlCa00
2021,2,Dillon Radunz,53,T,2023,0,0,0,3,32,0,0,0,0,0,,,0,,,0,,,North Dakota St.,RaduDi00
2021,3,Monty Rice,92,LB,2023,0,0,0,5,33,0,0,0,0,0,,,0,,,0,,,Georgia,RiceMo00
2021,3,Elijah Molden,100,DB,2023,0,0,0,3,26,0,0,0,0,0,,,0,,,0,1,,Washington,MoldEl00
2021,4,Dez Fitzpatrick,109,WR,2023,0,0,0,0,6,0,0,0,0,0,,,0,5,49,1,,,Louisville,FitzDe00
2021,4,Rashad Weaver,135,DL,2023,0,0,0,4,26,0,0,0,0,0,,,0,,,0,,5.5,Pittsburgh,WeavRa00
2021,6,Racey McMath,205,WR,2022,0,0,0,0,14,0,0,0,0,0,1,4,0,4,48,0,,,LSU,McMaRa00
2021,6,Brady Breeze,215,S,2022,0,0,0,0,11,0,0,0,0,0,,,0,,,0,,,Oregon,BreeBr00
2020,1,Isaiah Wilson,29,T,2020,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Georgia,WilsIs00
2020,2,Kristian Fulton,61,CB,2023,0,0,2,10,40,0,0,0,0,0,,,0,,,0,4,1.0,LSU,FultKr00
2020,3,Darrynton Evans,93,RB,2023,0,0,0,2,18,0,0,0,0,0,62,246,1,12,120,1,,,Appalachian St.,EvanDa02
2020,5,Larrell Murchison,174,DT,2023,0,0,0,4,37,0,0,0,0,0,,,0,,,0,,2.0,North Carolina St.,MurcLa00
2020,7,Cole McDonald,224,QB,,0,0,0,,,,,,,,,,,,,,,,Hawaii,McDoCo00
2020,7,Chris Jackson,243,S,2022,0,0,0,2,24,0,0,0,0,0,,,0,,,0,,,Marshall,JackCh01
2019,1,Jeffery Simmons,19,DT,2023,0,2,4,37,66,0,0,0,0,0,,,0,1,2,1,,25.5,Mississippi St.,SimmJe01
2019,2,A.J. Brown,51,WR,2023,0,2,4,44,70,0,2,0,0,0,5,70,1,341,5504,41,,,Mississippi,BrowAJ00
2019,3,Nate Davis,82,G,2023,0,0,4,23,60,0,0,0,0,0,,,0,,,0,,,Charlotte,DaviNa01
2019,4,Amani Hooker,116,S,2023,0,0,2,10,62,0,0,0,0,0,2,6,0,1,6,0,7,,Iowa,HookAm00
2019,5,D'Andre Walker,168,LB,2020,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Georgia,WalkDA02
2019,6,David Long,188,LB,2023,0,0,1,14,61,0,0,0,0,0,,,0,,,0,4,1.0,West Virginia,LongDa04
2018,1,Rashaan Evans,22,ILB,2023,0,0,4,31,81,0,0,0,0,0,,,0,,,0,2,5.0,Alabama,EvanRa01
2018,2,Harold Landry,41,OLB,2023,0,1,3,28,74,0,0,0,0,0,,,0,,,0,2,36.0,Boston Col.,LandHa00
2018,5,Dane Cruikshank,152,CB,2023,0,0,0,4,54,0,0,0,0,0,,,0,1,66,1,1,,Arizona,CruiDa00
2018,6,Luke Falk,199,QB,2019,0,0,0,1,3,47,73,416,0,3,,,0,,,0,,,Washington St.,FalkLu00
2017,1,Corey Davis,5,WR,2022,0,0,5,31,78,0,0,0,0,0,6,55,0,273,3879,17,,,Western Michigan,DaviCo03
2017,1,Adoree' Jackson,18,CB,2023,0,0,5,22,77,0,0,0,0,0,5,55,0,0,0,0,3,,USC,JackAd00
2017,3,Taywan Taylor,72,WR,2020,0,0,0,6,35,0,0,0,0,0,8,43,0,53,697,2,,,Western Kentucky,TaylTa00
2017,3,Jonnu Smith,100,TE,2023,0,0,5,16,100,0,1,0,0,0,17,127,1,204,2264,19,,,Florida International,SmitJo01
2017,5,Jayon Brown,155,LB,2022,0,0,3,26,74,0,0,0,0,0,,,0,,,0,4,9.5,UCLA,BrowJa06
2017,6,Corey Levin,217,OL,2023,0,0,0,5,54,0,0,0,0,0,,,0,,,0,,,Chattanooga,LeviCo00
2017,7,Josh Carraway,227,OLB,2017,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,TCU,CarrJo00
2017,7,Brad Seaton,236,T,,0,0,0,,,,,,,,,,,,,,,,Villanova,SeatBr00
2017,7,Khalfani Muhammad,241,RB,,0,0,0,,,,,,,,,,,,,,,,California,MuhaKh00
2016,1,Jack Conklin,8,T,2023,2,0,6,53,94,0,0,0,0,0,,,0,0,0,0,,,Michigan St.,ConkJa00
2016,2,Kevin Dodd,33,DE,2017,0,0,0,2,18,0,0,0,0,0,,,0,,,0,,1.0,Clemson,DoddKe00
2016,2,Austin Johnson,43,NT,2023,0,0,2,21,109,0,0,0,0,0,,,0,,,0,,8.0,Penn St.,JohnAu01
2016,2,Derrick Henry,45,RB,2023,1,3,4,57,112,6,8,25,3,0,1908,8998,82,147,1411,3,,,Alabama,HenrDe00
2016,3,Kevin Byard,64,S,2023,2,2,6,51,123,1,1,66,1,0,,,0,1,11,0,28,4.0,Middle Tenn. St.,ByarKe01
2016,5,Tajae Sharpe,140,WR,2021,0,0,3,12,66,0,0,0,0,0,2,17,0,117,1397,8,,,Massachusetts,SharTa00
2016,5,LeShaun Sims,157,CB,2020,0,0,0,11,69,0,0,0,0,0,,,0,,,0,3,,Southern Utah,SimsLe00
2016,6,Sebastian Tretola,193,G,2016,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Arkansas,TretSe00
2016,7,Aaron Wallace,222,OLB,2018,0,0,0,1,13,0,0,0,0,0,,,0,,,0,,1.0,UCLA,WallAa00
2016,7,Kalan Reed,253,CB,2017,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Southern Miss,ReedKa00
2015,1,Marcus Mariota,2,QB,2022,0,0,5,54,87,1312,2095,15656,92,54,349,2012,17,2,62,1,,,Oregon,MariMa01
2015,2,Dorial Green-Beckham,40,WR,2016,0,0,0,7,31,0,0,0,0,0,,,0,68,941,6,,,Oklahoma,GreeDo00
2015,3,Jeremiah Poutasi,66,G,2016,0,0,0,3,12,0,0,0,0,0,,,0,,,0,,,Utah,PoutJe00
2015,4,Angelo Blackson,100,DT,2023,0,0,1,21,126,0,0,0,0,0,,,0,,,0,1,8.5,Auburn,BlacAn00
2015,4,Jalston Fowler,108,FB,2017,0,0,1,0,42,0,0,0,0,0,10,20,2,6,58,1,,,Alabama,FowlJa00
2015,5,David Cobb,138,RB,2015,0,0,0,1,7,0,0,0,0,0,52,146,1,1,-2,0,,,Minnesota,CobbDa00
